buurtcode2022,buurtnaam2022,GM_2022,GM2022,GM_NAAM,WK_2022,WK2022,WK_NAAM
3630000,Kop Zeedijk,GM0363,363,Amsterdam,WK036300,36300,Burgwallen-Oude Zijde
3630001,Oude Kerk e.o.,GM0363,363,Amsterdam,WK036300,36300,Burgwallen-Oude Zijde
3630002,Burgwallen Oost,GM0363,363,Amsterdam,WK036300,36300,Burgwallen-Oude Zijde
3630003,Nes e.o.,GM0363,363,Amsterdam,WK036300,36300,Burgwallen-Oude Zijde
3630004,BG-terrein e.o.,GM0363,363,Amsterdam,WK036300,36300,Burgwallen-Oude Zijde
3630100,Stationsplein e.o.,GM0363,363,Amsterdam,WK036301,36301,Burgwallen-Nieuwe Zijde
3630101,Hemelrijk,GM0363,363,Amsterdam,WK036301,36301,Burgwallen-Nieuwe Zijde
3630102,Nieuwendijk Noord,GM0363,363,Amsterdam,WK036301,36301,Burgwallen-Nieuwe Zijde
3630103,Spuistraat Noord,GM0363,363,Amsterdam,WK036301,36301,Burgwallen-Nieuwe Zijde
3630104,Nieuwe Kerk e.o.,GM0363,363,Amsterdam,WK036301,36301,Burgwallen-Nieuwe Zijde
3630105,Spuistraat Zuid,GM0363,363,Amsterdam,WK036301,36301,Burgwallen-Nieuwe Zijde
3630106,Begijnhofbuurt,GM0363,363,Amsterdam,WK036301,36301,Burgwallen-Nieuwe Zijde
3630107,Kalverdriehoek,GM0363,363,Amsterdam,WK036301,36301,Burgwallen-Nieuwe Zijde
3630200,Langestraat e.o.,GM0363,363,Amsterdam,WK036302,36302,Grachtengordel-West
3630201,Leliegracht e.o.,GM0363,363,Amsterdam,WK036302,36302,Grachtengordel-West
3630202,Felix Meritisbuurt,GM0363,363,Amsterdam,WK036302,36302,Grachtengordel-West
3630203,Leidsegracht Noord,GM0363,363,Amsterdam,WK036302,36302,Grachtengordel-West
3630300,Spiegelbuurt,GM0363,363,Amsterdam,WK036303,36303,Grachtengordel-Zuid
3630301,Gouden Bocht,GM0363,363,Amsterdam,WK036303,36303,Grachtengordel-Zuid
3630302,Van Loonbuurt,GM0363,363,Amsterdam,WK036303,36303,Grachtengordel-Zuid
3630303,Amstelveldbuurt,GM0363,363,Amsterdam,WK036303,36303,Grachtengordel-Zuid
3630304,Rembrandtpleinbuurt,GM0363,363,Amsterdam,WK036303,36303,Grachtengordel-Zuid
3630305,Reguliersbuurt,GM0363,363,Amsterdam,WK036303,36303,Grachtengordel-Zuid
3630306,Leidsegracht Zuid,GM0363,363,Amsterdam,WK036303,36303,Grachtengordel-Zuid
3630400,Oosterdokseiland,GM0363,363,Amsterdam,WK036304,36304,Nieuwmarkt/Lastage
3630401,Scheepvaarthuisbuurt,GM0363,363,Amsterdam,WK036304,36304,Nieuwmarkt/Lastage
3630402,Rapenburg,GM0363,363,Amsterdam,WK036304,36304,Nieuwmarkt/Lastage
3630403,Lastage,GM0363,363,Amsterdam,WK036304,36304,Nieuwmarkt/Lastage
3630404,Nieuwmarkt,GM0363,363,Amsterdam,WK036304,36304,Nieuwmarkt/Lastage
3630405,Uilenburg,GM0363,363,Amsterdam,WK036304,36304,Nieuwmarkt/Lastage
3630406,Valkenburg,GM0363,363,Amsterdam,WK036304,36304,Nieuwmarkt/Lastage
3630407,Zuiderkerkbuurt,GM0363,363,Amsterdam,WK036304,36304,Nieuwmarkt/Lastage
3630408,Waterloopleinbuurt,GM0363,363,Amsterdam,WK036304,36304,Nieuwmarkt/Lastage
