postcode6,cbs_code
1011AB,BU0363AF01
1011ER,BU0363AF02
1011TD,BU0363AF04
1011TN,BU0363AF04
1011TN,BU0363AF04
1011TN,BU0363AF04
1011TN,BU0363AF04
1011TN,BU0363AF04
1011TN,BU0363AF04
1011TN,BU0363AF04
1011TN,BU0363AF04
1011TN,BU0363AF04
1011TN,BU0363AF04
1011TN,BU0363AF04
1011TN,BU0363AF04
1011TW,BU0363AF04
1012AB,BU0363AD01
1012HD,BU0363AE02
1012HD,BU0363AE02
1012HE,BU0363AE02
1012KV,BU0363AD07
1012LV,BU0363AD05
1012NV,BU0363AD07
1012NV,BU0363AD07
1012ZX,BU0363AE04
1013LH,BU0363AA02
1013MM,BU0363AA03
1013NK,BU0363EB08
1014BL,BU0363EA03
1014BL,BU0363EA03
1014BL,BU0363EA03
1014BL,BU0363EA03
1015HD,BU0363AB07
1015HD,BU0363AB07
1015HD,BU0363AB07
1015HD,BU0363AB07
1015ZE,BU0363AB04
1016BL,BU0363AC03
1016BL,BU0363AC03
1016TA,BU0363AB08
1017SR,BU0363AH03
1018AW,BU0363AK07
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
1018LL,BU0363AK04
