Household_ID,Year,GWBCODEJJJJ,GEMEENTE,WIJK,BUURT,ZONPV,ZONVERMOGEN31DEC,ELEK,ELEKTERUG,GESTINKH,BBIHJ,TYPHH31DEC,Energielabel,LIHE,LEKWI,LIHEZLEK
0,2022,10090301,1009,03,01,0,0,2818,208.3,28236,20645,ALONE,D,0,0,0
1,2022,10060305,1006,03,05,0,0,2791,201.1,20555,28384,ALONE,D,0,0,0
2,2022,10140203,1014,02,03,0,0,1583,682.8,30450,20405,OTHER,A,0,0,0
3,2022,10120103,1012,01,03,0,0,2902,825.8,47170,28940,FAMILY,E,0,0,0
4,2022,10100101,1010,01,01,0,0,3859,715.9,19592,20618,ALONE,E,0,1,0
5,2022,10070504,1007,05,04,0,0,2053,645.7,19593,16052,COUPLE,B,0,0,0
6,2022,10180105,1018,01,05,0,0,4143,916.5,48513,17571,COUPLE,D,0,0,0
7,2022,10160404,1016,04,04,0,0,3638,58.4,32328,0,COUPLE,D,1,0,0
8,2022,10080404,1008,04,04,0,0,2539,167.5,17418,11358,ALONE,D,0,1,0
9,2022,10060104,1006,01,04,0,0,3072,414.4,28890,13851,ALONE,A,0,0,0
10,2022,10070204,1007,02,04,0,0,4638,372.5,17470,18504,FAMILY,D,1,0,0
11,2022,10190303,1019,03,03,0,0,3860,418.1,17450,14795,FAMILY,C,0,1,0
12,2022,10150203,1015,02,03,0,0,3207,206.5,24859,17671,FAMILY,D,0,1,0
13,2022,10110504,1011,05,04,0,0,2986,149.5,10000,4414,ALONE,E,1,0,0
14,2022,10160103,1016,01,03,0,0,3268,509.2,10000,2349,FAMILY,E,0,1,0
15,2022,10050505,1005,05,05,0,0,2739,928.1,16628,5534,ALONE,B,0,0,1
16,2022,10170401,1017,04,01,0,0,1305,392,13274,27569,COUPLE,D,1,0,0
17,2022,10020305,1002,03,05,1,2646,5037,43.4,25774,4856,OTHER,G,1,0,0
18,2022,10150104,1015,01,04,0,0,3339,706.2,13988,8691,COUPLE,B,0,0,0
19,2022,10060302,1006,03,02,0,0,3558,291.1,10870,15841,ALONE,F,0,0,0
20,2022,10010505,1001,05,05,0,0,3147,245.1,45835,2267,ALONE,E,0,0,0
21,2022,10060205,1006,02,05,0,0,2538,324.3,19675,8021,COUPLE,E,1,0,0
22,2022,10120204,1012,02,04,0,0,3032,723.8,22782,20414,FAMILY,C,0,1,0
23,2022,10190102,1019,01,02,0,0,1760,818.8,10803,11495,OTHER,C,1,1,0
24,2022,10180405,1018,04,05,0,0,5249,588.1,16777,28467,FAMILY,F,1,0,0
25,2022,10020101,1002,01,01,0,0,2088,322.5,23282,1411,FAMILY,C,1,1,0
26,2022,10110101,1011,01,01,0,0,2271,310.5,12388,12235,FAMILY,A,0,1,0
27,2022,10170402,1017,04,02,0,0,2803,124.3,26578,11497,FAMILY,D,0,0,0
28,2022,10130503,1013,05,03,0,0,4359,933.3,16312,14928,ALONE,B,0,0,0
29,2022,10010405,1001,04,05,0,0,3213,638.1,19037,5185,OTHER,E,0,1,0
30,2022,10170204,1017,02,04,1,2505,2087,27,16303,10356,ALONE,D,0,0,0
31,2022,10150105,1015,01,05,0,0,4328,662.4,55611,21312,OTHER,F,0,1,0
32,2022,10040305,1004,03,05,0,0,3857,447.2,21878,12844,ALONE,E,0,0,0
33,2022,10130503,1013,05,03,0,0,3684,972.6,12979,6442,FAMILY,B,0,0,0
34,2022,10050301,1005,03,01,0,0,3844,819.1,33232,31640,FAMILY,C,1,0,0
35,2022,10140402,1014,04,02,0,0,5354,171.3,11963,15392,OTHER,E,0,0,0
36,2022,10000501,1000,05,01,0,0,5166,720.1,24451,19906,FAMILY,C,0,0,0
37,2022,10000403,1000,04,03,0,0,2581,485.6,10000,21113,ALONE,G,0,0,0
38,2022,10140302,1014,03,02,0,0,4661,187,11337,14433,COUPLE,E,1,0,1
39,2022,10100501,1010,05,01,0,0,3544,698.7,24304,8682,ALONE,A,1,0,1
40,2022,10150404,1015,04,04,0,0,3649,547.4,31864,16593,ALONE,F,0,0,0
41,2022,10080404,1008,04,04,0,0,1676,30.4,23997,9399,ALONE,B,0,0,0
42,2022,10120404,1012,04,04,0,0,3046,646.6,20788,17972,ALONE,B,1,1,0
43,2022,10180401,1018,04,01,0,0,2468,635,18947,13686,COUPLE,E,0,0,1
44,2022,10160104,1016,01,04,0,0,3945,144.1,10516,23235,OTHER,F,0,0,0
45,2022,10040501,1004,05,01,0,0,4163,349,15368,5867,OTHER,D,0,0,0
46,2022,10020302,1002,03,02,0,0,1332,585.9,17495,20748,ALONE,C,0,0,0
47,2022,10190301,1019,03,01,0,0,3180,138.8,37367,19910,ALONE,C,0,0,0
48,2022,10030502,1003,05,02,0,0,4209,852.7,26155,13087,ALONE,C,0,0,0
49,2022,10190404,1019,04,04,0,0,3031,27.5,10000,20841,ALONE,C,0,0,0
50,2022,10100101,1010,01,01,0,0,3856,102.8,25901,18351,ALONE,B,0,0,0
51,2022,10170301,1017,03,01,0,0,3516,116.1,18168,20337,ALONE,D,0,0,0
52,2022,10160304,1016,03,04,0,0,3507,528.1,15701,19828,COUPLE,F,0,0,1
53,2022,10150302,1015,03,02,0,0,2955,620.1,29906,15400,COUPLE,C,0,0,1
54,2022,10050104,1005,01,04,1,4383,2105,403.7,36882,10230,COUPLE,B,0,0,0
55,2022,10090501,1009,05,01,1,2690,2190,288.7,35088,10137,ALONE,E,0,1,0
56,2022,10000205,1000,02,05,0,0,3838,809.3,14478,13282,FAMILY,E,0,0,0
57,2022,10120105,1012,01,05,1,3197,3217,68.3,18871,21745,FAMILY,F,0,1,0
58,2022,10020305,1002,03,05,0,0,3075,280.3,25994,20057,ALONE,B,0,0,0
59,2022,10190501,1019,05,01,0,0,2818,39.1,35874,23047,ALONE,B,0,0,0
60,2022,10090502,1009,05,02,0,0,2925,13.9,17333,23850,ALONE,D,0,0,1
61,2022,10160402,1016,04,02,0,0,4142,353.4,20073,13264,ALONE,D,0,1,0
62,2022,10150104,1015,01,04,0,0,2898,194.8,12667,30699,COUPLE,D,0,0,0
63,2022,10130504,1013,05,04,0,0,1993,268.4,12111,14168,ALONE,D,0,0,0
64,2022,10160404,1016,04,04,0,0,3869,820.9,33066,11048,COUPLE,B,0,0,0
65,2022,10060305,1006,03,05,0,0,3015,163,43395,17666,ALONE,D,1,0,0
66,2022,10070104,1007,01,04,0,0,3228,780.2,21247,18869,FAMILY,D,0,1,0
67,2022,10190104,1019,01,04,0,0,4646,675.1,36379,9067,ALONE,C,1,1,0
68,2022,10020104,1002,01,04,0,0,3181,326.4,26392,13730,COUPLE,D,0,0,0
69,2022,10120404,1012,04,04,0,0,3460,546.6,15953,11424,ALONE,D,0,0,0
70,2022,10010501,1001,05,01,1,4500,2138,444.4,26388,16132,ALONE,C,1,0,0
71,2022,10170105,1017,01,05,0,0,3002,128.4,47525,21366,FAMILY,C,0,1,0
72,2022,10150102,1015,01,02,0,0,3748,907.2,21635,12872,FAMILY,C,0,0,0
73,2022,10070103,1007,01,03,0,0,1800,569.6,48161,19581,ALONE,A,0,1,0
74,2022,10000202,1000,02,02,0,0,3380,880.2,10000,3889,FAMILY,D,1,0,0
75,2022,10030204,1003,02,04,0,0,3290,823.8,33221,22118,COUPLE,E,0,0,0
76,2022,10050103,1005,01,03,0,0,3237,79.8,23006,11372,COUPLE,C,0,0,0
77,2022,10170405,1017,04,05,0,0,4133,207.3,18967,11229,COUPLE,A,0,1,0
78,2022,10190401,1019,04,01,0,0,3500,145.3,23060,18202,FAMILY,G,0,0,0
79,2022,10080304,1008,03,04,0,0,4530,830.8,10000,18623,ALONE,C,1,1,0
80,2022,10090204,1009,02,04,0,0,2305,862.4,19735,14101,ALONE,B,0,0,0
81,2022,10000302,1000,03,02,0,0,3322,528,26332,7889,ALONE,C,0,0,0
82,2022,10020504,1002,05,04,0,0,3276,104.2,46117,11163,FAMILY,E,0,0,1
83,2022,10010303,1001,03,03,0,0,2237,135.6,16998,15761,OTHER,C,1,0,0
84,2022,10140101,1014,01,01,0,0,4060,813.5,14702,18918,FAMILY,D,1,0,1
85,2022,10190303,1019,03,03,0,0,5292,929.2,17139,8416,FAMILY,C,1,0,0
86,2022,10160503,1016,05,03,0,0,3184,199.5,34811,9878,OTHER,B,1,0,0
87,2022,10190403,1019,04,03,0,0,3654,11.1,25961,17103,FAMILY,C,0,0,1
88,2022,10050504,1005,05,04,0,0,3276,331,16900,14334,FAMILY,E,1,0,1
89,2022,10160202,1016,02,02,0,0,2557,30.5,28470,16171,OTHER,D,0,0,0
90,2022,10190104,1019,01,04,0,0,1561,828,23121,0,ALONE,B,1,0,0
91,2022,10170103,1017,01,03,0,0,2564,491.5,35750,12640,COUPLE,B,0,0,0
92,2022,10060502,1006,05,02,0,0,1947,641.9,15505,21826,FAMILY,D,0,0,0
93,2022,10190103,1019,01,03,0,0,4733,411.5,18697,10073,OTHER,E,0,0,0
94,2022,10080304,1008,03,04,0,0,3096,345.5,18105,18892,FAMILY,C,0,1,0
95,2022,10090302,1009,03,02,0,0,2888,222.2,10596,5330,FAMILY,D,0,0,0
96,2022,10000501,1000,05,01,0,0,4000,770.5,25541,2497,OTHER,B,0,0,0
97,2022,10140301,1014,03,01,0,0,2190,695.5,25097,18342,COUPLE,C,0,0,0
98,2022,10180403,1018,04,03,0,0,2509,360.7,22082,14564,ALONE,A,1,1,0
99,2022,10130503,1013,05,03,1,2468,3261,321.1,19588,12312,ALONE,E,1,0,0
100,2022,10090201,1009,02,01,0,0,4125,1.2,10854,21771,COUPLE,C,1,1,0
101,2022,10170405,1017,04,05,0,0,3651,63.6,17848,12505,COUPLE,E,1,0,0
